iteration,model,algorithm,design_distribution,active_components,mean_reward_chf,std_reward_chf,mean_cost_chf,mean_pv_capacity_kwp,mean_battery_capacity_kwh,mode_pv_capacity_kwp,mode_battery_capacity_kwh,max_power_balance_error_kw,validation_mean_reward_chf,validation_mean_cost_chf,validation_max_power_balance_error_kw,design_loss,design_entropy,design_entropy_weight,policy_loss,value_loss,action_entropy
31,ppo_lognormal,ppo,lognormal,8,-103.94506080112453,11.129309868055303,103.94506080112453,6.076383590698242,8.527915954589844,1.493767261505127,1.9219356775283813,1.7763568394002505e-15,-104.47801779713491,104.47801779713491,1.1102230246251565e-15,,,0.0,-0.001374809672900786,32.69470683733622,2.5362162930624828
32,ppo_lognormal,ppo,lognormal,8,-103.45533117258348,8.940798575715913,103.45533117258348,8.055498123168945,8.542405128479004,1.493767261505127,1.9219356775283813,1.3322676295501878e-15,-104.75287081648374,104.75287081648374,8.881784197001252e-16,,,0.0,-0.00014938605904933952,32.03445537317367,2.5272053004730317
33,ppo_lognormal,ppo,lognormal,8,-103.85394200935681,10.148139423579632,103.85394200935681,8.385507583618164,7.627825736999512,1.493767261505127,1.9219356775283813,1.3322676295501878e-15,-104.34148105807236,104.34148105807236,1.3322676295501878e-15,,,0.0,-0.0001878424151246214,31.714112281799316,2.520164667850449
34,ppo_lognormal,ppo,lognormal,8,-102.0173132698111,10.221485280981263,102.0173132698111,7.405967712402344,6.422881126403809,1.493767261505127,1.9219356775283813,1.7763568394002505e-15,-103.9165626785046,103.9165626785046,1.3322676295501878e-15,,,0.0,0.00038052117174846076,30.67110980692364,2.515891434890883
35,ppo_lognormal,ppo,lognormal,8,-103.35898909343359,12.15674296556085,103.35898909343359,7.8621063232421875,7.091245174407959,1.493767261505127,1.9219356775283813,1.3322676295501878e-15,-104.74815443269509,104.74815443269509,8.881784197001252e-16,,,0.0,-0.0029945604591852144,31.616842945416767,2.5121704843782244
36,ppo_lognormal,ppo,lognormal,8,-103.54083758340329,10.338256489857455,103.54083758340329,8.895950317382812,9.159209251403809,1.493767261505127,1.9219356775283813,1.7763568394002505e-15,-103.75297572619988,103.75297572619988,8.881784197001252e-16,,,0.0,0.0005495449766472337,31.219111539068678,2.5055038169735955
37,ppo_lognormal,ppo,lognormal,8,-102.79742236097142,10.861102268977167,102.79742236097142,6.74328088760376,8.045319557189941,1.493767261505127,1.9219356775283813,2.220446049250313e-15,-103.73542383762837,103.73542383762837,8.881784197001252e-16,,,0.0,7.53184680693916e-05,30.182803801127843,2.4970584015051522
38,ppo_lognormal,ppo,lognormal,8,-105.49931019798107,10.190616265042365,105.49931019798107,7.306219100952148,8.676555633544922,1.493767261505127,1.9219356775283813,2.6645352591003757e-15,-103.25180294326287,103.25180294326287,8.881784197001252e-16,,,0.0,-0.0001870595539609591,32.25070122310093,2.492171887130964
39,ppo_lognormal,ppo,lognormal,8,-105.29343914512529,11.232444552561079,105.29343914512529,7.384969711303711,9.84737777709961,1.493767261505127,1.9219356775283813,1.7763568394002505e-15,-102.36987698737465,102.36987698737465,1.1102230246251565e-15,,,0.0,-7.706328151038005e-05,31.96684525694166,2.4852215129704702
40,ppo_lognormal,ppo,lognormal,8,-104.1277868870246,10.644900425858179,104.1277868870246,7.489431858062744,7.956742763519287,1.493767261505127,1.9219356775283813,2.6645352591003757e-15,-101.21654378695808,101.21654378695808,1.3322676295501878e-15,,,0.0,4.350069987898072e-05,30.584717591603596,2.478918970340774
41,ppo_lognormal,ppo,lognormal,8,-103.06101618946673,10.343922772909094,103.06101618946673,7.194025039672852,6.703031539916992,1.493767261505127,1.9219356775283813,1.3322676295501878e-15,-102.40369934482908,102.40369934482908,1.1102230246251565e-15,,,0.0,-0.00025043743828843745,29.564530287470138,2.4721056932494756
42,ppo_lognormal,ppo,lognormal,8,-104.74659379451137,9.685836345968504,104.74659379451137,5.917514801025391,7.375256538391113,1.493767261505127,1.9219356775283813,1.7763568394002505e-15,-104.8967500837004,104.8967500837004,1.3322676295501878e-15,,,0.0,4.866050134989477e-05,30.191421457699366,2.469413855955714
43,ppo_lognormal,ppo,lognormal,8,-101.33244883342269,11.018451338148408,101.33244883342269,7.119043827056885,6.86909294128418,1.493767261505127,1.9219356775283813,1.5543122344752192e-15,-102.31740292896762,102.31740292896762,8.881784197001252e-16,,,0.0,-0.00032016983355528543,28.094389183180674,2.466155392783029
44,ppo_lognormal,ppo,lognormal,8,-105.70726662835166,7.14705091341187,105.70726662835166,6.735869884490967,9.648036003112793,1.493767261505127,1.9219356775283813,1.3322676295501878e-15,-103.08213010695073,103.08213010695073,8.881784197001252e-16,,,0.0,0.0001168210874311626,30.632803366297768,2.46017594351655
45,ppo_lognormal,ppo,lognormal,8,-103.9269621985868,9.824391024227065,103.9269621985868,6.454288005828857,8.60366439819336,1.493767261505127,1.9219356775283813,1.7763568394002505e-15,-104.60697961862742,104.60697961862742,1.1102230246251565e-15,,,0.0,-0.0006159829014601806,29.60489919639769,2.45536027493931
