iteration,model,algorithm,design_distribution,active_components,mean_reward_chf,std_reward_chf,mean_cost_chf,mean_pv_capacity_kwp,mean_battery_capacity_kwh,mode_pv_capacity_kwp,mode_battery_capacity_kwh,max_power_balance_error_kw,validation_mean_reward_chf,validation_mean_cost_chf,validation_max_power_balance_error_kw,design_loss,design_entropy,design_entropy_weight,policy_loss,value_loss,action_entropy
57,ppo_gmm,ppo,gaussian,8,-107.01930098894016,12.001848471573608,107.01930098894016,7.134793758392334,10.313963890075684,6.364008903503418,13.287444114685059,1.7763568394002505e-15,-103.73067545041052,103.73067545041052,8.881784197001252e-16,-0.5484428405761719,8.029533386230469,0.0,0.0011538902596969689,29.582041189784096,2.4021538297335305
58,ppo_gmm,ppo,gaussian,8,-102.95439229284497,8.95222732711327,102.95439229284497,6.942919731140137,7.642016410827637,6.364259719848633,13.286727905273438,1.3322676295501878e-15,-102.29234626891127,102.29234626891127,8.881784197001252e-16,-0.4010053873062134,8.140937805175781,0.0,0.00021130565853257264,26.38555769693284,2.398823291772888
59,ppo_gmm,ppo,gaussian,8,-104.74142995927629,7.875370224656461,104.74142995927629,6.204689979553223,7.999846458435059,6.364453315734863,13.286052703857422,1.3322676295501878e-15,-103.55523115646042,103.55523115646042,1.1102230246251565e-15,-0.256287157535553,7.760038375854492,0.0,0.0004714034952311998,27.269203157651994,2.395914918610028
60,ppo_gmm,ppo,gaussian,8,-100.17663649185724,8.80982291660691,100.17663649185724,7.852997779846191,7.164332389831543,6.364819049835205,13.285346031188965,1.3322676295501878e-15,-101.03588714044388,101.03588714044388,8.881784197001252e-16,-0.21251648664474487,7.649352073669434,0.0,-0.00109986306328903,24.244504088447208,2.3916595734301067
61,ppo_gmm,ppo,gaussian,8,-102.95185198941988,10.577541575824382,102.95185198941988,7.333257675170898,9.147180557250977,6.365164279937744,13.28461742401123,1.3322676295501878e-15,-101.70139984656711,101.70139984656711,1.1102230246251565e-15,-0.19021423161029816,7.75128173828125,0.0,0.00026799024393161136,25.945114345777604,2.3888175870691026
62,ppo_gmm,ppo,gaussian,8,-103.8494289012254,11.582916559078877,103.8494289012254,6.8456525802612305,9.246505737304688,6.365508079528809,13.28388786315918,1.7763568394002505e-15,-101.91646586348504,101.91646586348504,8.881784197001252e-16,-0.038287580013275146,8.227924346923828,0.0,-0.0019658842550901077,26.630733631906054,2.387434028443836
63,ppo_gmm,ppo,gaussian,8,-100.72936750438012,7.039633103924194,100.72936750438012,7.807683944702148,6.841342449188232,6.365725040435791,13.283278465270996,2.220446049250313e-15,-100.47888808936113,100.47888808936113,1.1102230246251565e-15,-0.00806841254234314,7.714635848999023,0.0,-0.002276881234831221,24.100422195025853,2.377430475893475
64,ppo_gmm,ppo,gaussian,8,-104.8424279225258,9.556599156992277,104.8424279225258,7.536849021911621,8.934564590454102,6.875674724578857,3.045954465866089,1.3322676295501878e-15,-103.46339630836168,103.46339630836168,1.1102230246251565e-15,-0.3178679943084717,7.998776912689209,0.0,0.00018897942832804153,26.816735965865,2.373619467020035
65,ppo_gmm,ppo,gaussian,8,-103.44711817208709,10.552446607570321,103.44711817208709,7.185830593109131,8.569344520568848,6.875750541687012,3.0452141761779785,1.1102230246251565e-15,-104.06633387404565,104.06633387404565,1.1102230246251565e-15,-0.5552927851676941,8.045063018798828,0.0,0.000379238301233965,25.84043368271419,2.370714707033975
66,ppo_gmm,ppo,gaussian,8,-100.01990077730463,7.840765754096132,100.01990077730463,7.580770492553711,7.493626594543457,6.875901222229004,3.0444793701171875,1.3322676295501878e-15,-101.03557330113637,101.03557330113637,1.1102230246251565e-15,0.024565517902374268,7.481037616729736,0.0,-0.00031222364244361717,23.471825327192033,2.3703979338918413
67,ppo_gmm,ppo,gaussian,8,-102.24617655679944,8.42127859279059,102.24617655679944,6.1335649490356445,7.0398712158203125,6.876131057739258,3.0437166690826416,1.3322676295501878e-15,-105.70246709387263,105.70246709387263,8.881784197001252e-16,-0.12780502438545227,7.702359199523926,0.0,0.0012772029287935723,24.570828840846108,2.367990110601698
68,ppo_gmm,ppo,gaussian,8,-103.4496116174524,9.081877600043752,103.4496116174524,6.818142414093018,7.092412948608398,6.876394748687744,3.0429575443267822,1.3322676295501878e-15,-105.74993681234517,105.74993681234517,8.881784197001252e-16,-0.2652284801006317,7.97994327545166,0.0,0.0003272996067867747,24.8637938556217,2.365032594828379
69,ppo_gmm,ppo,gaussian,8,-103.93593793803325,9.57166768435331,103.93593793803325,7.236532688140869,8.947443962097168,6.876599311828613,3.042210817337036,1.3322676295501878e-15,-104.08143182135514,104.08143182135514,1.1102230246251565e-15,-0.5428879261016846,7.695070743560791,0.0,7.838938230027755e-05,25.86877601487296,2.3623383392890296
70,ppo_gmm,ppo,gaussian,8,-106.13504147321004,9.310546734682294,106.13504147321004,6.217960357666016,7.946005821228027,6.876755237579346,3.04146409034729,1.3322676295501878e-15,-105.70191452031949,105.70191452031949,8.881784197001252e-16,-0.3634296655654907,7.906737804412842,0.0,0.0010830565921163984,26.859960720652627,2.359868742880367
71,ppo_gmm,ppo,gaussian,8,-104.13708760055852,8.463625017636367,104.13708760055852,6.1003947257995605,8.50127124786377,6.876934051513672,3.040757417678833,1.3322676295501878e-15,-101.66182622121792,101.66182622121792,8.881784197001252e-16,-0.14479026198387146,7.872808456420898,0.0,0.00044789099289725226,25.571684405917214,2.3618705109471367
72,ppo_gmm,ppo,gaussian,8,-102.71577845900052,9.446033200626877,102.71577845900052,6.525957107543945,7.198822975158691,6.877345561981201,3.0400705337524414,1.1102230246251565e-15,-103.80449237628605,103.80449237628605,1.1102230246251565e-15,-0.44199883937835693,7.892783164978027,0.0,0.00022794842343067839,24.718562438374473,2.3612900163446153
73,ppo_gmm,ppo,gaussian,8,-99.9616717849078,8.281737008892785,99.9616717849078,7.485774993896484,5.912147521972656,6.877708911895752,3.0394628047943115,1.1102230246251565e-15,-103.3423503652365,103.3423503652365,8.881784197001252e-16,0.21845030784606934,7.911484241485596,0.0,0.0005433495611041075,23.044110133534385,2.3590002875952494
74,ppo_gmm,ppo,gaussian,8,-102.04044490449891,9.306763378822257,102.04044490449891,8.387800216674805,8.41053295135498,6.878047943115234,3.038830518722534,2.220446049250313e-15,-101.2846328193558,101.2846328193558,1.1102230246251565e-15,-0.2051648497581482,7.713207244873047,0.0,0.0007954055631888055,23.508293787638348,2.3592170100836527
75,ppo_gmm,ppo,gaussian,8,-104.15259101856302,8.63347108960062,104.15259101856302,7.7742085456848145,9.12142562866211,6.878288745880127,3.0382113456726074,1.3322676295501878e-15,-106.81134017275814,106.81134017275814,1.1102230246251565e-15,-0.28759390115737915,8.075759887695312,0.0,0.00034131302631327083,24.671282575243996,2.359133320195334
76,ppo_gmm,ppo,gaussian,8,-103.98805420237898,7.742785747235497,103.98805420237898,7.423478126525879,8.156551361083984,6.878669738769531,3.0375397205352783,1.3322676295501878e-15,-104.02842430145691,104.02842430145691,1.1102230246251565e-15,0.06022647023200989,7.54080057144165,0.0,0.0005124878870057208,24.925315771784103,2.3584819528318586
77,ppo_gmm,ppo,gaussian,8,-103.21251101130609,9.064127890646821,103.21251101130609,6.771992206573486,7.463940143585205,6.879027366638184,3.0368592739105225,1.3322676295501878e-15,-105.79820171733462,105.79820171733462,8.881784197001252e-16,-0.2648722231388092,7.957688331604004,0.0,-0.0003866803273835796,24.366050578299024,2.356425642257645
78,ppo_gmm,ppo,gaussian,8,-103.82691655346113,8.924316814859864,103.82691655346113,6.729479789733887,9.357276916503906,6.879505157470703,3.036249876022339,1.1102230246251565e-15,-102.8904427265577,102.8904427265577,1.1102230246251565e-15,-0.04850202798843384,8.081068992614746,0.0,0.0013428084092170355,24.67227512314206,2.3558288393985656
79,ppo_gmm,ppo,gaussian,8,-102.74139756394746,8.829570895657564,102.74139756394746,7.2017364501953125,8.396648406982422,6.879975318908691,3.0356051921844482,8.881784197001252e-16,-102.74847280056508,102.74847280056508,8.881784197001252e-16,-0.03576377034187317,7.760864734649658,0.0,0.0002027459448159096,24.155039253688994,2.354688274008887
80,ppo_gmm,ppo,gaussian,8,-101.56288324095227,7.437852492437087,101.56288324095227,7.355589389801025,7.75487756729126,6.880435943603516,3.0349583625793457,8.881784197001252e-16,-104.94859948101785,104.94859948101785,8.881784197001252e-16,-0.40914827585220337,7.791285037994385,0.0,-0.0002783187720481129,22.966695337068465,2.354509105285009
81,ppo_gmm,ppo,gaussian,8,-106.01133061305734,10.011623584944573,106.01133061305734,7.116466999053955,8.111445426940918,6.880903720855713,3.0342326164245605,1.3322676295501878e-15,-101.0994080669976,101.0994080669976,1.1102230246251565e-15,0.02830672264099121,8.079109191894531,0.0,-0.001958192886030745,25.982789079348247,2.353141480968112
82,ppo_gmm,ppo,gaussian,8,-103.18118716279375,9.683297848657588,103.18118716279375,6.671647548675537,7.577719688415527,6.881364345550537,3.0335850715637207,1.1102230246251565e-15,-104.21806761410626,104.21806761410626,1.1102230246251565e-15,-0.26199451088905334,7.846607208251953,0.0,0.0007468883912744266,23.520258551552182,2.3480502594084967
83,ppo_gmm,ppo,gaussian,8,-103.04953994542149,8.932556061258605,103.04953994542149,7.221713066101074,7.977980136871338,6.881834506988525,3.032909870147705,1.3322676295501878e-15,-101.81097566378689,101.81097566378689,1.1102230246251565e-15,-0.06781232357025146,7.873345375061035,0.0,0.00042293366000411057,23.747497530210588,2.3422581276723315
