iteration,model,algorithm,design_distribution,active_components,mean_reward_chf,std_reward_chf,mean_cost_chf,mean_pv_capacity_kwp,mean_battery_capacity_kwh,mode_pv_capacity_kwp,mode_battery_capacity_kwh,max_power_balance_error_kw,validation_mean_reward_chf,validation_mean_cost_chf,validation_max_power_balance_error_kw,design_loss,design_entropy,design_entropy_weight,actor_loss,critic_loss
36,ddpg_lognormal,ddpg,lognormal,3,-97.07715547098249,8.309441455419384,97.07715547098249,2.062011241912842,1.663055181503296,0.4310367703437805,0.40940597653388977,8.881784197001252e-16,-99.74296074166958,99.74296074166958,8.881784197001252e-16,-317.6130065917969,3.280852794647217,0.0086,25.581952600961642,4.126297061398093
37,ddpg_lognormal,ddpg,lognormal,3,-101.49236332337779,10.660214012907279,101.49236332337779,3.1942977905273438,2.241955518722534,0.4312334954738617,0.40919268131256104,2.886579864025407e-15,-102.49234680650181,102.49234680650181,3.1086244689504383e-15,-386.4061584472656,3.741697311401367,0.00856,25.534074771617142,4.251823750136065
38,ddpg_lognormal,ddpg,lognormal,3,-101.82517969366918,7.106671547784214,101.82517969366918,1.81707763671875,1.7826635837554932,0.4313987195491791,0.4088890552520752,8.881784197001252e-16,-103.18946783162633,103.18946783162633,1.7763568394002505e-15,-312.2470397949219,3.09020733833313,0.00852,25.198182098922274,4.113192013880637
39,ddpg_lognormal,ddpg,lognormal,3,-101.91254246666824,13.538710251080841,101.91254246666824,4.40369987487793,2.0763115882873535,0.4316682815551758,0.40859878063201904,2.220446049250313e-15,-100.06125135565311,100.06125135565311,8.881784197001252e-16,-436.0982360839844,4.155384063720703,0.00848,25.060849223818096,4.031411087212508
40,ddpg_lognormal,ddpg,lognormal,3,-102.88332599187208,8.527757541019056,102.88332599187208,2.2263295650482178,2.3765501976013184,0.43187808990478516,0.40841394662857056,8.881784197001252e-16,-101.27900542672432,101.27900542672432,8.881784197001252e-16,-373.1064453125,3.652278184890747,0.00844,24.775594255044346,3.9508326571445824
41,ddpg_lognormal,ddpg,lognormal,3,-103.09779196767286,10.760855884480538,103.09779196767286,2.494987964630127,2.0866971015930176,0.4319939613342285,0.4081375300884247,8.881784197001252e-16,-104.17476388492972,104.17476388492972,1.5543122344752192e-15,-367.3704528808594,3.5480077266693115,0.0084,24.69860289139407,3.8681865100959496
42,ddpg_lognormal,ddpg,lognormal,3,-102.86725040292608,7.840401161105121,102.86725040292608,2.8509364128112793,1.90476655960083,0.431952565908432,0.40773943066596985,8.881784197001252e-16,-103.84612775801018,103.84612775801018,8.881784197001252e-16,-365.2268371582031,3.5531668663024902,0.00836,24.75883135909126,3.880171935578498
43,ddpg_lognormal,ddpg,lognormal,3,-108.13865485973812,20.361479636955906,108.13865485973812,3.213750123977661,3.676460027694702,0.4319307208061218,0.40748876333236694,1.7763568394002505e-15,-104.56575511581266,104.56575511581266,8.881784197001252e-16,-482.89508056640625,4.210808753967285,0.00832,24.53193265767325,3.9523934022512375
44,ddpg_lognormal,ddpg,lognormal,3,-104.54724393419485,9.412647514367116,104.54724393419485,2.5898711681365967,2.089600086212158,0.4319847524166107,0.4072367250919342,8.881784197001252e-16,-100.83386062459914,100.83386062459914,1.3322676295501878e-15,-376.3941650390625,3.5895333290100098,0.008280000000000001,24.41807638392562,3.8025132766315
45,ddpg_lognormal,ddpg,lognormal,3,-105.32170972494491,8.985492614018842,105.32170972494491,2.611422538757324,2.3640894889831543,0.43194255232810974,0.4071396589279175,8.881784197001252e-16,-102.05374672371775,102.05374672371775,1.1102230246251565e-15,-387.0958251953125,3.6512207984924316,0.00824,24.492312196819555,3.725276812062865
46,ddpg_lognormal,ddpg,lognormal,3,-102.02313826312408,10.418985771038912,102.02313826312408,3.1590094566345215,2.473295211791992,0.4319128692150116,0.4069252908229828,1.3322676295501878e-15,-103.82364936570559,103.82364936570559,1.3322676295501878e-15,-401.783447265625,3.960566282272339,0.0082,24.92329328436227,3.8989393180679706
47,ddpg_lognormal,ddpg,lognormal,3,-99.92842351153426,7.713306564716049,99.92842351153426,3.458007574081421,1.6739141941070557,0.43174493312835693,0.40672141313552856,8.881784197001252e-16,-100.33859366746921,100.33859366746921,8.881784197001252e-16,-372.5627746582031,3.772151470184326,0.00816,24.894831109259812,3.8788632216552896
48,ddpg_lognormal,ddpg,lognormal,3,-102.23370666084654,7.135276128814404,102.23370666084654,2.858607292175293,1.8311052322387695,0.43156638741493225,0.4066232442855835,2.220446049250313e-15,-104.11936858164101,104.11936858164101,1.7763568394002505e-15,-362.166015625,3.535923480987549,0.00812,24.436002832438266,3.8942239875849776
49,ddpg_lognormal,ddpg,lognormal,3,-102.73962030178495,10.989553612304793,102.73962030178495,2.4399466514587402,2.254876136779785,0.4314558506011963,0.4067060351371765,8.881784197001252e-16,-100.60977026769632,100.60977026769632,1.5543122344752192e-15,-372.0406188964844,3.5771803855895996,0.00808,24.07651529709498,3.7710856727568345
50,ddpg_lognormal,ddpg,lognormal,3,-100.86137629452568,11.610428990821509,100.86137629452568,3.5251684188842773,1.7106469869613647,0.4313161075115204,0.4068823456764221,1.3322676295501878e-15,-101.66504847831565,101.66504847831565,8.881784197001252e-16,-370.4515380859375,3.6529316902160645,0.00804,23.7216476748387,3.7090466497909453
51,ddpg_lognormal,ddpg,lognormal,3,-98.79679269645251,8.229824204017579,98.79679269645251,2.983689546585083,1.3111069202423096,0.43102502822875977,0.40710827708244324,8.881784197001252e-16,-105.42301801396098,105.42301801396098,1.3322676295501878e-15,-323.8957824707031,3.2620906829833984,0.008,23.25334251423677,3.55180296963746
52,ddpg_lognormal,ddpg,lognormal,3,-106.15056263740794,11.712871809001962,106.15056263740794,2.4623405933380127,2.0426831245422363,0.43098580837249756,0.407221257686615,8.881784197001252e-16,-103.91171082303046,103.91171082303046,1.3322676295501878e-15,-381.9755859375,3.536538600921631,0.00796,23.099403744652157,3.5003382525007645
